Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
1,Wii Sports,wii-sports,Sports,E,Wii,Nintendo,Nintendo EAD,,7.7,,82.86,0.0,,,,,2006.0,,http://www.vgchartz.com/game/2667/wii-sports/?region=All,1,,/games/boxart/full_2258645AmericaFrontccc.jpg,82.86
2,Super Mario Bros.,super-mario-bros,Platform,,NES,Nintendo,Nintendo EAD,,10.0,,40.24,0.0,,,,,1985.0,,http://www.vgchartz.com/game/6455/super-mario-bros/?region=All,1,,/games/boxart/8972270ccc.jpg,40.24
3,Mario Kart Wii,mario-kart-wii,Racing,E,Wii,Nintendo,Nintendo EAD,,8.2,9.1,37.14,0.0,,,,,2008.0,11th Apr 18,http://www.vgchartz.com/game/6968/mario-kart-wii/?region=All,1,8.7,/games/boxart/full_8932480AmericaFrontccc.jpg,37.14
4,PlayerUnknown's Battlegrounds,playerunknowns-battlegrounds,Shooter,,PC,PUBG Corporation,PUBG Corporation,,,,36.6,0.0,,,,,2017.0,13th Nov 18,http://www.vgchartz.com/game/215988/playerunknowns-battlegrounds/?region=All,1,,/games/boxart/full_8052843AmericaFrontccc.jpg,36.6
5,Wii Sports Resort,wii-sports-resort,Sports,E,Wii,Nintendo,Nintendo EAD,,8.0,8.8,33.09,0.0,,,,,2009.0,,http://www.vgchartz.com/game/24656/wii-sports-resort/?region=All,1,8.8,/games/boxart/full_7295041AmericaFrontccc.jpg,33.09
6,Pokemon Red / Green / Blue Version,pokmon-red,Role-Playing,E,GB,Nintendo,Game Freak,,9.4,,31.38,0.0,,,,,1998.0,,http://www.vgchartz.com/game/4030/pokemon-red-green-blue-version/?region=All,1,,/games/boxart/full_6442337AmericaFrontccc.png,31.38
7,New Super Mario Bros.,new-super-mario-bros,Platform,E,DS,Nintendo,Nintendo EAD,,9.1,8.1,30.8,0.0,,,,,2006.0,,http://www.vgchartz.com/game/1582/new-super-mario-bros/?region=All,1,,/games/boxart/full_2916260AmericaFrontccc.jpg,30.8
8,Tetris,tetris,Puzzle,E,GB,Nintendo,Bullet Proof Software,,,,30.26,0.0,,,,,1989.0,,http://www.vgchartz.com/game/4534/tetris/?region=All,1,,/games/boxart/3740960ccc.jpg,30.26
9,New Super Mario Bros. Wii,new-super-mario-bros-wii,Platform,E,Wii,Nintendo,Nintendo EAD,,8.6,9.2,30.22,0.0,,,,,2009.0,,http://www.vgchartz.com/game/35076/new-super-mario-bros-wii/?region=All,1,9.1,/games/boxart/full_1410872AmericaFrontccc.jpg,30.22
10,Minecraft,minecraft,Misc,,PC,Mojang,Mojang AB,,10.0,,30.01,0.0,,,,,2010.0,05th Aug 18,http://www.vgchartz.com/game/47724/minecraft/?region=All,1,,/games/boxart/full_minecraft_1AmericaFront.png,30.01
11,Duck Hunt,duck-hunt,Shooter,,NES,Nintendo,Nintendo R&D1,,,,28.31,0.0,,,,,1985.0,,http://www.vgchartz.com/game/6246/duck-hunt/?region=All,1,,/games/boxart/full_6570468AmericaFrontccc.jpg,28.31
12,Wii Play,wii-play,Misc,E,Wii,Nintendo,Nintendo EAD,,5.9,4.5,28.02,0.0,,,,,2007.0,,http://www.vgchartz.com/game/2666/wii-play/?region=All,1,5.3,/games/boxart/full_6165969AmericaFrontccc.jpg,28.02
13,Kinect Adventures!,kinect-adventures,Party,E,X360,Microsoft Game Studios,Good Science Studio,,6.7,,24.0,0.0,,,,,2010.0,29th Sep 18,http://www.vgchartz.com/game/45608/kinect-adventures/?region=All,1,6.2,/games/boxart/full_kinect-adventures_386AmericaFront.jpg,24.0
14,Nintendogs,nintendogs,Simulation,E,DS,Nintendo,Nintendo EAD,,8.4,,23.96,0.0,,,,,2005.0,,http://www.vgchartz.com/game/1657/nintendogs/?region=All,1,,/games/boxart/full_4870931AmericaFrontccc.jpg,23.96
15,Mario Kart DS,mario-kart-ds,Racing,E,DS,Nintendo,Nintendo EAD,,9.1,9.4,23.6,0.0,,,,,2005.0,,http://www.vgchartz.com/game/1254/mario-kart-ds/?region=All,1,,/games/boxart/full_9551652AmericaFrontccc.jpg,23.6
16,Pokemon Gold / Silver Version,pokmon-gold,Role-Playing,E,GB,Nintendo,Game Freak,,9.2,,23.1,0.0,,,,,2000.0,,http://www.vgchartz.com/game/4025/pokemon-gold-silver-version/?region=All,1,,/games/boxart/full_1344180AmericaFrontccc.png,23.1
17,Wii Fit,wii-fit,Sports,E,Wii,Nintendo,Nintendo EAD,,7.9,,22.67,0.0,,,,,2008.0,,http://www.vgchartz.com/game/7480/wii-fit/?region=All,1,8.0,/games/boxart/full_3619557AmericaFrontccc.jpg,22.67
18,Wii Fit Plus,wii-fit-plus,Sports,E,Wii,Nintendo,Nintendo EAD,,8.0,,21.13,0.0,,,,,2009.0,,http://www.vgchartz.com/game/35077/wii-fit-plus/?region=All,1,,/games/boxart/full_2716475AmericaFrontccc.jpg,21.13
19,Super Mario World,super-mario-world,Platform,E,SNES,Nintendo,Nintendo EAD,,8.5,,20.61,0.0,,,,,1991.0,10th Aug 18,http://www.vgchartz.com/game/4441/super-mario-world/?region=All,1,,/games/boxart/full_1091265AmericaFrontccc.jpg,20.61
20,Grand Theft Auto V,grand-theft-auto-v,Action,M,PS3,Rockstar Games,Rockstar North,,9.4,,0.0,20.32,6.37,9.85,0.99,3.12,2013.0,,http://www.vgchartz.com/game/65884/grand-theft-auto-v/?region=All,1,,/games/boxart/full_6510540AmericaFrontccc.jpg,20.32
